Date,CHF2Y,CHF3Y,CHF4Y,CHF5Y,CHF7Y,CHF10Y,CHF20Y,CHF30Y,EUR10Y,USD10Y,
1988-01-31,3.218,3.393,3.554,3.695,3.904,4.092,4.326,#N/A,#N/A,8.4841,
1988-02-29,2.99,3.271,3.498,3.672,3.905,4.098,4.332,#N/A,#N/A,8.361,
1988-03-31,3.263,3.573,3.734,3.823,3.916,3.998,4.255,#N/A,#N/A,8.7629,
1988-04-30,3.25,3.467,3.594,3.684,3.819,3.965,4.2,#N/A,#N/A,9.0687,
1988-05-31,3.602,3.802,3.909,3.974,4.054,4.127,4.247,#N/A,#N/A,9.2778,
1988-06-30,3.707,3.764,3.83,3.897,4.017,4.155,4.38,#N/A,#N/A,8.8949,
1988-07-31,4.195,4.206,4.212,4.215,4.219,4.222,4.226,#N/A,#N/A,9.284,
1988-08-31,3.959,3.943,3.981,4.037,4.153,4.292,4.498,#N/A,#N/A,9.2447,
1988-09-30,3.798,3.871,3.962,4.041,4.156,4.257,4.381,#N/A,#N/A,8.8704,
1988-10-31,4.157,4.089,4.025,3.986,3.965,4.014,4.406,#N/A,#N/A,8.6762,
1988-11-30,4.29,4.144,4.054,4.003,3.979,4.042,4.387,#N/A,#N/A,8.9978,
1988-12-31,4.425,4.24,4.131,4.074,4.048,4.107,4.374,#N/A,#N/A,9.0064,
1989-01-31,5.14,4.862,4.727,4.653,4.574,4.517,4.45,#N/A,#N/A,8.827,
1989-02-28,5.522,5.202,5.03,4.926,4.808,4.719,4.615,#N/A,#N/A,9.1471,
1989-03-31,5.473,5.179,5.035,4.954,4.864,4.798,4.72,#N/A,#N/A,9.0739,
1989-04-30,5.845,5.439,5.231,5.132,5.066,5.054,5.061,#N/A,#N/A,8.9012,
1989-05-31,6.476,5.926,5.639,5.483,5.334,5.242,5.143,#N/A,#N/A,8.5151,
1989-06-30,6.019,5.455,5.178,5.066,5.041,5.105,5.229,#N/A,#N/A,8.0823,
1989-07-31,5.618,5.273,5.153,5.123,5.136,5.173,5.226,#N/A,#N/A,7.7831,
1989-08-31,6.145,5.567,5.297,5.19,5.158,5.195,5.265,#N/A,#N/A,8.1871,
1989-09-30,6.648,5.979,5.625,5.451,5.332,5.311,5.331,#N/A,#N/A,8.2513,
1989-10-31,6.571,6.029,5.743,5.581,5.417,5.31,5.195,#N/A,#N/A,7.9089,
1989-11-30,6.45,5.92,5.689,5.582,5.491,5.437,5.376,#N/A,#N/A,7.7975,
1989-12-31,6.736,6.128,5.875,5.764,5.673,5.618,5.556,#N/A,#N/A,7.9107,
1990-01-31,7.649,6.841,6.456,6.269,6.117,6.04,5.967,#N/A,#N/A,8.3573,
1990-02-28,7.785,7.236,6.918,6.714,6.474,6.292,6.079,#N/A,#N/A,8.4624,
1990-03-31,7.734,7.163,6.871,6.717,6.57,6.475,6.37,#N/A,#N/A,8.564,
1990-04-30,7.831,7.182,6.881,6.745,6.655,6.629,6.619,#N/A,#N/A,8.9235,
1990-05-31,6.923,6.531,6.402,6.355,6.321,6.3,6.277,#N/A,#N/A,8.5239,
1990-06-30,6.988,6.508,6.323,6.246,6.184,6.147,6.105,#N/A,#N/A,8.3853,
1990-07-31,6.931,6.347,6.143,6.08,6.065,6.078,6.1,#N/A,#N/A,8.3322,
1990-08-31,7.38,6.885,6.665,6.566,6.5,6.484,6.484,#N/A,#N/A,8.8887,
1990-09-30,7.071,6.717,6.598,6.555,6.525,6.509,6.491,#N/A,#N/A,8.8648,
1990-10-31,6.983,6.695,6.595,6.553,6.516,6.491,6.463,#N/A,#N/A,8.6758,
1990-11-30,7.363,6.923,6.753,6.677,6.609,6.563,6.51,#N/A,#N/A,8.2907,
1990-12-31,7.358,6.927,6.728,6.643,6.598,6.601,6.623,#N/A,#N/A,8.2193,
1991-01-31,6.952,6.574,6.44,6.402,6.399,6.415,6.438,#N/A,#N/A,8.1434,
1991-02-28,6.925,6.534,6.352,6.271,6.223,6.221,6.237,#N/A,#N/A,8.1356,
1991-03-31,6.702,6.355,6.231,6.185,6.16,6.155,6.152,#N/A,#N/A,8.1748,
1991-04-30,6.851,6.424,6.237,6.146,6.065,6.016,5.961,#N/A,#N/A,8.1745,
1991-05-31,6.61,6.129,5.925,5.844,5.806,5.813,5.838,#N/A,#N/A,8.2448,
1991-06-30,6.753,6.25,6.039,5.964,5.946,5.971,6.015,#N/A,#N/A,8.4401,
1991-07-31,6.695,6.36,6.204,6.123,6.045,5.996,5.941,#N/A,#N/A,8.3012,
1991-08-31,6.775,6.463,6.324,6.248,6.167,6.107,6.036,#N/A,#N/A,8.0619,
1991-09-30,6.661,6.445,6.353,6.301,6.242,6.198,6.146,#N/A,#N/A,7.7129,
1991-10-31,7.26,7.048,6.944,6.88,6.795,6.698,6.384,#N/A,#N/A,7.7774,
1991-11-30,7.056,6.809,6.701,6.653,6.629,6.637,6.67,#N/A,#N/A,7.7583,
1991-12-31,6.578,6.379,6.349,6.35,6.361,6.37,6.382,#N/A,#N/A,7.1252,
1992-01-31,6.627,6.304,6.179,6.143,6.147,6.175,6.214,#N/A,#N/A,7.6606,
1992-02-29,6.697,6.419,6.288,6.222,6.164,6.132,6.099,#N/A,#N/A,7.6253,
1992-03-31,6.938,6.608,6.536,6.546,6.608,6.676,6.762,#N/A,#N/A,7.7596,
1992-04-30,7.228,6.854,6.705,6.639,6.581,6.545,6.503,#N/A,#N/A,7.8484,
1992-05-31,7.522,7.071,6.89,6.828,6.821,6.861,6.93,#N/A,#N/A,7.6194,
1992-06-30,7.622,7.27,7.122,7.048,6.975,6.924,6.865,#N/A,#N/A,7.5786,
1992-07-31,7.65,7.31,7.143,7.048,6.944,6.867,6.778,#N/A,#N/A,7.15,
1992-08-31,7.292,7.061,6.959,6.913,6.875,6.854,6.83,#N/A,#N/A,7.1916,
1992-09-30,6.779,6.606,6.478,6.393,6.312,6.292,6.33,#N/A,#N/A,7.0045,
1992-10-31,5.821,5.791,5.816,5.865,5.979,6.092,5.851,#N/A,#N/A,7.2241,
1992-11-30,5.887,5.845,5.867,5.913,6.006,6.063,5.762,#N/A,#N/A,7.3078,
1992-12-31,5.529,5.433,5.428,5.466,5.573,5.68,5.526,#N/A,#N/A,7.0947,
1993-01-31,5.114,5.14,5.195,5.263,5.399,5.539,5.36,#N/A,#N/A,6.8122,
1993-02-28,4.785,4.826,4.872,4.899,4.914,4.907,4.888,#N/A,#N/A,6.4942,
1993-03-31,4.444,4.475,4.522,4.566,4.631,4.688,4.756,#N/A,#N/A,6.531,
1993-04-30,4.267,4.346,4.473,4.582,4.729,4.845,4.981,#N/A,#N/A,6.446,
1993-05-31,4.257,4.239,4.348,4.474,4.673,4.846,5.054,#N/A,#N/A,6.4656,
